"Team","xG_21_22","Shots_21_22","xG_22_23","Shots_22_23","xG_23_24","Shots_23_24","Goals_21_22","Goals_22_23","Goals_23_24","NA"
"Manchester City",NA,93.4,713,84.32,600,89.55,693,99,94,96
"Arsenal",NA,63.39,589,76.51,593,84.39,657,61,88,91
"Manchester United",NA,57.21,508,71.9,593,60.33,550,57,58,85
"Newcastle",NA,41.53,449,76.98,571,84.48,551,44,68,85
"Liverpool",NA,93.02,729,80.77,605,94.79,790,94,75,86
"Brighton",NA,49.57,489,77.72,613,61.91,561,42,72,55
"Aston Villa",NA,43.13,464,50,431,67.42,515,52,51,76
"Tottenham",NA,67.95,491,57.83,518,73.35,584,69,70,74
"Brentford",NA,52.89,442,59.23,408,64.29,473,48,58,56
"Fulham",NA,0,0,47.98,429,52.81,501,0,55,55
"Crystal Palace",NA,48.84,412,40.72,426,53.94,456,50,40,57
"Chelsea",NA,69.3,592,51.89,484,80.88,549,76,38,77
"Wolves",NA,39.04,402,35.13,412,50.65,429,38,31,50
"West Ham",NA,54.98,449,51.21,474,54.53,450,60,42,60
"Bournemouth",NA,0,0,40.08,358,63.76,542,0,37,54
"Nottingham Forest",NA,0,0,39.57,368,52.16,451,0,38,49
"Everton",NA,44.47,437,48.65,429,60.75,507,43,34,40
"Leicester",NA,49.49,435,48.99,418,0,0,62,51,0
"Leeds United",NA,51.19,485,47.8,462,0,0,42,48,0
"Southampton",NA,47.35,482,39.27,417,0,0,43,36,0
"Burnley",NA,41.11,407,0,0,43.44,433,34,0,41
"Watford",NA,39.34,399,0,0,0,0,34,0,0
"Norwich City",NA,31.51,373,0,0,0,0,23,0,0
"Luton Town",NA,0,0,0,0,49.87,432,0,0,52
"Sheffield United",NA,0,0,0,0,41.31,365,0,0,35
